time,id,status,currency,buying_power,regt_buying_power,daytrading_buying_power,cash,portfolio_value,pattern_day_trader,trading_blocked,transfers_blocked,account_blocked,created_at,trade_suspended_by_user,multiplier,shorting_enabled,equity,last_equity,long_market_value,short_market_value,initial_margin,maintenance_margin,last_maintenance_margin,sma,daytrade_count
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,10000,10000,0,5000,5000,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000,5000,0,0,0,0,0,0,0
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9319.46,9319.46,0,5680.55,5000.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000.0,5000,0,-680.55,340.27,204.17,0,0,0
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8673.5,8673.5,0,6326.51,5000.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000.0,5000.0,0,-1326.51,663.25,193.79,204.17,0,0
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7452.9,7452.9,0,5105.92,5000.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000.0,5000.0,1220.59,-1326.51,1273.55,366.18,193.79,0,0
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6887.76,6887.76,0,4540.77,5000.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000.0,5000.0,1785.7399999999998,-1326.51,1556.12,169.54,366.18,0,0
2019-01-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6331.48,6331.48,0,3984.51,5000.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5000.0,5000.0,2342.0,-1326.51,1834.26,166.88,169.54,0,0
2019-01-02 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6395.68,6395.68,0,3984.51,5056.83,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5056.83,5000.0,2395.1494,-1322.83,1858.99,167.71,166.88,0,0
2019-01-03 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6460.78,6460.78,0,3984.51,5076.15,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5076.15,5056.83,2391.58,-1299.94,1845.76,167.44,167.71,0,0
2019-01-04 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6380.12,6380.12,0,3984.51,5079.22,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5079.22,5076.15,2436.52,-1341.81,1889.16,168.03,167.44,0,0
2019-01-05 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6380.12,6380.12,0,3984.51,5079.22,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5079.22,5079.22,2436.52,-1341.81,1889.16,168.03,168.03,0,0
2019-01-06 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6380.12,6380.12,0,3984.51,5079.22,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5079.22,5079.22,2436.52,-1341.81,1889.16,168.03,168.03,0,0
2019-01-07 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6270.24,6270.24,0,3984.51,5064.11,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5064.11,5079.22,2468.79,-1389.19,1928.99,170.24,168.03,0,0
2019-01-08 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6245.5,6245.5,0,3984.51,5081.44,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5081.44,5064.11,2507.16,-1410.23,1958.69,171.5,170.24,0,0
2019-01-09 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6216.78,6216.78,0,3984.51,5076.56,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5076.56,5081.44,2514.195,-1422.15,1968.17,170.82,171.5,0,0
2019-01-10 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6164.96,6164.96,0,3984.51,5049.37,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5049.37,5076.56,2499.32,-1434.46,1966.89,170.73,170.82,0,0
2019-01-11 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6184.12,6184.12,0,3984.51,5062.76,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5062.76,5049.37,2509.83,-1431.58,1970.7,170.62,170.73,0,0
2019-01-12 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6184.12,6184.12,0,3984.51,5062.76,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5062.76,5062.76,2509.83,-1431.58,1970.7,170.62,170.62,0,0
2019-01-13 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6184.12,6184.12,0,3984.51,5062.76,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5062.76,5062.76,2509.83,-1431.58,1970.7,170.62,170.62,0,0
2019-01-14 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6246.32,6246.32,0,3984.51,5078.91,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5078.91,5062.76,2502.95,-1408.5500000000002,1955.75,171.09,170.62,0,0
2019-01-15 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6231.78,6231.78,0,3984.51,5083.2,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5083.2,5078.91,2516.6549999999997,-1417.96,1967.31,173.18,171.09,0,0
2019-01-16 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6241.32,6241.32,0,3984.51,5088.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5088.32,5083.2,2519.5696,-1415.76,1967.66,173.38,173.18,0,0
2019-01-17 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,6242.08,6242.08,0,3984.51,5103.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5103.0,5088.32,2541.21,-1422.7199999999998,1981.96,174.1,173.38,0,0
